key,Intake_X,Intake_Y,Release_X,Release_Y,Has_Secondary_Intake_Cell,    Secondary_Intake_X,Secondary_Intake_Y,Max_Storage,Storage,        Min_Release_Storage,Release_Rate
reservoir_0,1855.0,2965.0,1865.0,2965.0,-1,-1,-1,10000,5000,0,10
reservoir_1,4505.0,265.0,4515.0,265.0,-1,-1,-1,10000,5000,0,10
reservoir_2,2395.0,3705.0,2405.0,3705.0,-1,-1,-1,10000,5000,0,10
reservoir_3,4625.0,3555.0,4635.0,3555.0,-1,-1,-1,10000,5000,0,10
reservoir_4,2705.0,3565.0,2715.0,3565.0,-1,-1,-1,10000,5000,0,10
reservoir_5,1405.0,95.0,1415.0,95.0,-1,-1,-1,10000,5000,0,10
reservoir_6,1055.0,1895.0,1065.0,1895.0,-1,-1,-1,10000,5000,0,10
reservoir_7,1295.0,855.0,1305.0,855.0,-1,-1,-1,10000,5000,0,10
reservoir_8,3565.0,1845.0,3575.0,1845.0,-1,-1,-1,10000,5000,0,10
reservoir_9,2985.0,3375.0,2995.0,3375.0,-1,-1,-1,10000,5000,0,10
reservoir_10,1065.0,1805.0,1075.0,1805.0,-1,-1,-1,10000,5000,0,10
reservoir_11,2955.0,4295.0,2965.0,4295.0,-1,-1,-1,10000,5000,0,10
reservoir_12,295.0,285.0,305.0,285.0,-1,-1,-1,10000,5000,0,10
reservoir_13,4045.0,2125.0,4055.0,2125.0,-1,-1,-1,10000,5000,0,10
reservoir_14,255.0,1945.0,265.0,1945.0,-1,-1,-1,10000,5000,0,10
reservoir_15,3855.0,3505.0,3865.0,3505.0,-1,-1,-1,10000,5000,0,10
reservoir_16,4985.0,175.0,4995.0,175.0,-1,-1,-1,10000,5000,0,10
reservoir_17,315.0,345.0,325.0,345.0,-1,-1,-1,10000,5000,0,10
reservoir_18,1795.0,4905.0,1805.0,4905.0,-1,-1,-1,10000,5000,0,10
reservoir_19,765.0,3855.0,775.0,3855.0,-1,-1,-1,10000,5000,0,10
reservoir_20,4055.0,3935.0,4065.0,3935.0,-1,-1,-1,10000,5000,0,10
reservoir_21,2925.0,3945.0,2935.0,3945.0,-1,-1,-1,10000,5000,0,10
reservoir_22,1275.0,115.0,1285.0,115.0,-1,-1,-1,10000,5000,0,10
reservoir_23,885.0,3045.0,895.0,3045.0,-1,-1,-1,10000,5000,0,10
reservoir_24,825.0,3225.0,835.0,3225.0,-1,-1,-1,10000,5000,0,10
reservoir_25,165.0,1025.0,175.0,1025.0,-1,-1,-1,10000,5000,0,10
reservoir_26,2415.0,3605.0,2425.0,3605.0,-1,-1,-1,10000,5000,0,10
reservoir_27,3135.0,3565.0,3145.0,3565.0,-1,-1,-1,10000,5000,0,10
reservoir_28,935.0,705.0,945.0,705.0,-1,-1,-1,10000,5000,0,10
reservoir_29,1175.0,915.0,1185.0,915.0,-1,-1,-1,10000,5000,0,10
reservoir_30,1095.0,3695.0,1105.0,3695.0,-1,-1,-1,10000,5000,0,10
reservoir_31,4065.0,4185.0,4075.0,4185.0,-1,-1,-1,10000,5000,0,10
reservoir_32,1775.0,4705.0,1785.0,4705.0,-1,-1,-1,10000,5000,0,10
reservoir_33,985.0,4055.0,995.0,4055.0,-1,-1,-1,10000,5000,0,10
reservoir_34,1055.0,4345.0,1065.0,4345.0,-1,-1,-1,10000,5000,0,10
reservoir_35,135.0,1175.0,145.0,1175.0,-1,-1,-1,10000,5000,0,10
reservoir_36,4565.0,1255.0,4575.0,1255.0,-1,-1,-1,10000,5000,0,10
reservoir_37,2415.0,2905.0,2425.0,2905.0,-1,-1,-1,10000,5000,0,10
reservoir_38,2735.0,1885.0,2745.0,1885.0,-1,-1,-1,10000,5000,0,10
reservoir_39,4445.0,1235.0,4455.0,1235.0,-1,-1,-1,10000,5000,0,10
reservoir_40,4395.0,2665.0,4405.0,2665.0,-1,-1,-1,10000,5000,0,10
reservoir_41,695.0,465.0,705.0,465.0,-1,-1,-1,10000,5000,0,10
reservoir_42,415.0,1805.0,425.0,1805.0,-1,-1,-1,10000,5000,0,10
reservoir_43,2105.0,1025.0,2115.0,1025.0,-1,-1,-1,10000,5000,0,10
reservoir_44,4135.0,4065.0,4145.0,4065.0,-1,-1,-1,10000,5000,0,10
reservoir_45,4575.0,4575.0,4585.0,4575.0,-1,-1,-1,10000,5000,0,10
reservoir_46,4155.0,3235.0,4165.0,3235.0,-1,-1,-1,10000,5000,0,10
reservoir_47,4355.0,4645.0,4365.0,4645.0,-1,-1,-1,10000,5000,0,10
reservoir_48,1935.0,805.0,1945.0,805.0,-1,-1,-1,10000,5000,0,10
reservoir_49,695.0,4095.0,705.0,4095.0,-1,-1,-1,10000,5000,0,10
reservoir_50,1775.0,1875.0,1785.0,1875.0,-1,-1,-1,10000,5000,0,10
reservoir_51,3005.0,2995.0,3015.0,2995.0,-1,-1,-1,10000,5000,0,10
reservoir_52,4685.0,4675.0,4695.0,4675.0,-1,-1,-1,10000,5000,0,10
reservoir_53,1085.0,1275.0,1095.0,1275.0,-1,-1,-1,10000,5000,0,10
reservoir_54,1985.0,2715.0,1995.0,2715.0,-1,-1,-1,10000,5000,0,10
reservoir_55,2845.0,1785.0,2855.0,1785.0,-1,-1,-1,10000,5000,0,10
reservoir_56,4395.0,15.0,4405.0,15.0,-1,-1,-1,10000,5000,0,10
reservoir_57,1525.0,3395.0,1535.0,3395.0,-1,-1,-1,10000,5000,0,10
reservoir_58,2685.0,3755.0,2695.0,3755.0,-1,-1,-1,10000,5000,0,10
reservoir_59,3715.0,1335.0,3725.0,1335.0,-1,-1,-1,10000,5000,0,10
reservoir_60,3195.0,4555.0,3205.0,4555.0,-1,-1,-1,10000,5000,0,10
reservoir_61,4045.0,2885.0,4055.0,2885.0,-1,-1,-1,10000,5000,0,10
reservoir_62,4315.0,695.0,4325.0,695.0,-1,-1,-1,10000,5000,0,10
reservoir_63,3045.0,3035.0,3055.0,3035.0,-1,-1,-1,10000,5000,0,10
reservoir_64,4165.0,4655.0,4175.0,4655.0,-1,-1,-1,10000,5000,0,10
reservoir_65,95.0,4485.0,105.0,4485.0,-1,-1,-1,10000,5000,0,10
reservoir_66,3985.0,3385.0,3995.0,3385.0,-1,-1,-1,10000,5000,0,10
reservoir_67,2125.0,3645.0,2135.0,3645.0,-1,-1,-1,10000,5000,0,10
reservoir_68,4245.0,4855.0,4255.0,4855.0,-1,-1,-1,10000,5000,0,10
reservoir_69,2795.0,2435.0,2805.0,2435.0,-1,-1,-1,10000,5000,0,10
reservoir_70,915.0,825.0,925.0,825.0,-1,-1,-1,10000,5000,0,10
reservoir_71,3205.0,1415.0,3215.0,1415.0,-1,-1,-1,10000,5000,0,10
